rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rgr__C,param_rgr__epsilon,param_rgr__loss,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score
48,0.0274172306060791,0.0014671956896531533,0.020836019515991212,0.026788892335661934,0.01,0.0001,epsilon_insensitive,"{'rgr__C': np.float64(0.01), 'rgr__epsilon': np.float64(0.0001), 'rgr__loss': 'epsilon_insensitive'}",-1.20044184710689,-0.971797364544946,-0.6073707172889109,-1.0656608489330883,-0.9983246453576515,-0.9687190846462972,0.19725706675778223
49,0.027370500564575195,0.0005458297984963273,0.007392358779907226,0.00032816494452176395,0.01,0.01,epsilon_insensitive,"{'rgr__C': np.float64(0.01), 'rgr__epsilon': np.float64(0.01), 'rgr__loss': 'epsilon_insensitive'}",-1.201491154068354,-0.9700676623586862,-0.6072967198371303,-1.0661313398808818,-0.9996844381066007,-0.9689342628503306,0.1976150550062599
50,0.02713303565979004,0.0007653527150320191,0.007782793045043946,0.0009848683549751945,0.01,0.1,epsilon_insensitive,"{'rgr__C': np.float64(0.01), 'rgr__epsilon': np.float64(0.1), 'rgr__loss': 'epsilon_insensitive'}",-1.223577227123905,-0.9774012909584903,-0.6068006487223981,-1.0846495189320464,-1.0005398708482918,-0.9785937113170263,0.20492822866747745
51,0.02683701515197754,0.0005239353075812887,0.00796046257019043,0.0010374876732773763,10.0,1.0,epsilon_insensitive,"{'rgr__C': np.float64(10.0), 'rgr__epsilon': np.float64(1.0), 'rgr__loss': 'epsilon_insensitive'}",-1.9949586157295727,-1.0398570073028122,-0.5434257690977937,-1.0916218608847197,-0.997241353002164,-1.1334209212034125,0.4731569973742302
52,0.027802085876464842,0.0007445234761242776,0.008161783218383789,0.0011449459724345303,100.0,1.0,squared_epsilon_insensitive,"{'rgr__C': np.float64(100.0), 'rgr__epsilon': np.float64(1.0), 'rgr__loss': 'squared_epsilon_insensitive'}",-1.994582503839247,-1.0398723487598187,-0.5436409485105148,-1.091692580350568,-0.9973251863622106,-1.1334227135644717,0.4729596867514101
53,0.027786731719970703,0.000319187826987249,0.007534646987915039,0.00042506941256651576,1.0,1.0,epsilon_insensitive,"{'rgr__C': np.float64(1.0), 'rgr__epsilon': np.float64(1.0), 'rgr__loss': 'epsilon_insensitive'}",-1.9958970264093177,-1.0399411844219497,-0.5432668884917852,-1.0922249980981107,-0.9969660443023352,-1.1336592283446998,0.4735402895477414
54,0.02745647430419922,0.0007608049066708943,0.0075534343719482425,0.0003762613092377666,100.0,1.0,epsilon_insensitive,"{'rgr__C': np.float64(100.0), 'rgr__epsilon': np.float64(1.0), 'rgr__loss': 'epsilon_insensitive'}",-1.99686444769108,-1.039857710890015,-0.5433570955882212,-1.092139526452996,-0.997216289308837,-1.13388701398623,0.47386050376601524
55,0.026823759078979492,0.0003947299930324873,0.007340145111083984,0.00034013915875740766,10.0,1.0,squared_epsilon_insensitive,"{'rgr__C': np.float64(10.0), 'rgr__epsilon': np.float64(1.0), 'rgr__loss': 'squared_epsilon_insensitive'}",-1.996219761414211,-1.03972680462001,-0.5439779758860128,-1.0921196242017073,-0.9983332874788842,-1.1340754907201651,0.4734122380228353
56,0.027286767959594727,0.0005626439436991669,0.0074043750762939455,0.00034988221438592707,0.1,1.0,epsilon_insensitive,"{'rgr__C': np.float64(0.1), 'rgr__epsilon': np.float64(1.0), 'rgr__loss': 'epsilon_insensitive'}",-1.9889282567242457,-1.0378947136068573,-0.5443729054819202,-1.0919422794744407,-1.0158393732477944,-1.1357955057070517,0.46979002270688086
57,0.0265902042388916,0.0006748254249074339,0.007433462142944336,0.00028331208226968263,1.0,1.0,squared_epsilon_insensitive,"{'rgr__C': np.float64(1.0), 'rgr__epsilon': np.float64(1.0), 'rgr__loss': 'squared_epsilon_insensitive'}",-1.9927022814427815,-1.039443093379332,-0.5510562268472532,-1.0969002049783367,-1.0105902507608335,-1.1381384114817075,0.46960723762570616
58,0.02725987434387207,0.000572392857891692,0.007396268844604492,0.00031507840706832495,0.1,1.0,squared_epsilon_insensitive,"{'rgr__C': np.float64(0.1), 'rgr__epsilon': np.float64(1.0), 'rgr__loss': 'squared_epsilon_insensitive'}",-1.973202089659238,-1.047526792045031,-0.6128614195343023,-1.152033101591608,-1.115806364374515,-1.180285953440939,0.4411955205422784
59,0.02640876770019531,0.0004714040121388681,0.0073582172393798825,0.00018854135205543336,0.01,1.0,epsilon_insensitive,"{'rgr__C': np.float64(0.01), 'rgr__epsilon': np.float64(1.0), 'rgr__loss': 'epsilon_insensitive'}",-2.1220766524534835,-1.1621305340143238,-0.9051805202365386,-1.5654091942410056,-1.7031109167344471,-1.4915815635359597,0.4242931552369712
60,0.026780080795288087,0.000736841486936265,0.007598161697387695,0.0010148215612907551,0.01,1.0,squared_epsilon_insensitive,"{'rgr__C': np.float64(0.01), 'rgr__epsilon': np.float64(1.0), 'rgr__loss': 'squared_epsilon_insensitive'}",-2.3351733339824947,-1.2487863727435697,-0.954124246895657,-1.6518341780755577,-1.7777906565324775,-1.5935417576459514,0.47224444655562814
