rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_preprocess__categorical__encode__min_frequency,param_rgr__C,param_rgr__gamma,param_rgr__shrinking,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score
58,0.03970456123352051,0.0021379398155156964,0.01409754753112793,0.0008010032389228235,3,10,0.1,True,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__C': 10, 'rgr__gamma': 0.1, 'rgr__shrinking': True}",-68652.29602860121,-81484.13444429544,-70740.46089763826,-110725.30336774685,-123194.8133931963,-90959.40162629561,22027.282428571536
59,0.03839516639709473,0.0007407979940109165,0.014402341842651368,0.0007983729181744141,2,10,0.1,True,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__C': 10, 'rgr__gamma': 0.1, 'rgr__shrinking': True}",-68826.34435864535,-81964.55196074852,-70652.08402051457,-110854.09007633923,-123395.65468819538,-91138.54502088862,22049.559507172533
60,0.037551164627075195,0.0005081458529615536,0.01466836929321289,0.00042176168742520345,,10,0.1,True,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__C': 10, 'rgr__gamma': 0.1, 'rgr__shrinking': True}",-68907.95526186332,-82211.41473425743,-70488.1729014369,-111092.02031625759,-123613.36308429074,-91262.5852596212,22149.531370077526
61,0.04200654029846192,0.0024690664583461312,0.01529998779296875,0.0018855125840989287,4,1000,1,True,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__C': 1000, 'rgr__gamma': 1, 'rgr__shrinking': True}",-76999.79861648136,-91260.73091039267,-76722.51338948749,-115367.73222351487,-124585.06927148462,-96987.1688822722,19710.061079880896
62,0.03960437774658203,0.00037281272843131183,0.013600444793701172,0.0004902519934661355,5,1000,1,True,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__C': 1000, 'rgr__gamma': 1, 'rgr__shrinking': True}",-77001.69260321958,-91258.7742508809,-76731.9560953651,-115377.04723801077,-124584.62981775757,-96990.82000104678,19709.46382612969
63,0.04910454750061035,0.019707505182212565,0.014200258255004882,0.00039956582119642325,3,1000,1,True,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__C': 1000, 'rgr__gamma': 1, 'rgr__shrinking': True}",-77009.4083390602,-91405.04419879791,-76722.07767896667,-115388.04517855839,-124594.36038760102,-97023.78715659684,19706.280829091604
64,0.04100303649902344,0.0022149972333307243,0.014220285415649413,0.0003928959481332794,2,1000,1,True,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__C': 1000, 'rgr__gamma': 1, 'rgr__shrinking': True}",-77073.78972404663,-91424.44453748687,-76718.87537625487,-115398.12628690783,-124608.10229043229,-97044.6676430257,19698.492722222505
65,0.03870439529418945,0.0008099906922317333,0.013800334930419923,0.00040016560693553754,,1000,1,True,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__C': 1000, 'rgr__gamma': 1, 'rgr__shrinking': True}",-77074.41304528329,-91437.20106752285,-76720.10261116139,-115399.30632644614,-124609.98676571032,-97048.2019632248,19698.132961810235
66,0.03959612846374512,0.001064014785272825,0.014101791381835937,0.000663295079968187,4,1000,10,True,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__C': 1000, 'rgr__gamma': 10, 'rgr__shrinking': True}",-78509.32519266705,-93356.13259148374,-76991.80827443779,-115242.65538441914,-124034.24553683042,-97626.83339596764,19064.054486583125
66,0.0394040584564209,0.0015972294398384683,0.014902305603027344,0.001200357753636094,5,1000,10,True,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__C': 1000, 'rgr__gamma': 10, 'rgr__shrinking': True}",-78509.32519266705,-93356.13259148374,-76991.80827443779,-115242.65538441914,-124034.24553683042,-97626.83339596764,19064.054486583125
68,0.04020085334777832,0.0010267599412134224,0.014295864105224609,0.0006058395661564404,3,1000,10,True,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__C': 1000, 'rgr__gamma': 10, 'rgr__shrinking': True}",-78509.32519266705,-93356.13259148727,-76991.80827443779,-115242.65538441928,-124034.24553683042,-97626.83339596835,19064.054486582994
69,0.0420039176940918,0.0029197647003360084,0.014702463150024414,0.0007472453717462845,2,1000,10,True,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__C': 1000, 'rgr__gamma': 10, 'rgr__shrinking': True}",-78509.32519266785,-93356.13259148724,-76991.80827443779,-115242.65538441928,-124034.24553683042,-97626.83339596851,19064.054486582834
69,0.03873300552368164,0.00042703569608897556,0.014001703262329102,1.5786118848082398e-06,,1000,10,True,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__C': 1000, 'rgr__gamma': 10, 'rgr__shrinking': True}",-78509.32519266785,-93356.13259148724,-76991.80827443779,-115242.65538441928,-124034.24553683042,-97626.83339596851,19064.054486582834
71,0.04130420684814453,0.0023701950110393793,0.01830463409423828,0.00764315782079449,4,1,scale,True,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__C': 1, 'rgr__gamma': 'scale', 'rgr__shrinking': True}",-75608.6704733746,-96643.94537571943,-74639.88601902747,-113686.37463514901,-130649.83720921168,-98245.74274249644,21728.680212211733
72,0.03899989128112793,0.0010545159108122934,0.013903188705444335,0.00019817339674107606,5,1,scale,True,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__C': 1, 'rgr__gamma': 'scale', 'rgr__shrinking': True}",-75611.6771034801,-96644.55825277996,-74638.80185162391,-113678.779070633,-130661.6065548437,-98247.08456667213,21730.711931965434
73,0.03830804824829102,0.0006820649375255061,0.01399993896484375,1.97182399064401e-06,3,1,scale,True,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__C': 1, 'rgr__gamma': 'scale', 'rgr__shrinking': True}",-75621.07459009392,-96641.36280038182,-74635.45248214094,-113719.1012232944,-130802.8751387108,-98283.97324692438,21777.41873990489
